name,*log_k2.y1,conc_mM.par1,status,class
PTBL,-2.268166508,2,1,fluoro-Ol
PTBL,-2.34396853,0.5,1,fluoro-Ol
PTBL,-2.82145883,0.99,1,fluoro-Ol
PTBL,-2.753421855,1.5,1,fluoro-Ol
tAMOL,-0.770579841,0.5,1,Ol
tAMOL,-1.051348501,0.99,1,Ol
tAMOL,-1.344959764,1.5,1,Ol
TBP,-0.174011198,0.5,1,P=O
TBP,-0.377797918,0.99,1,P=O
TBP,-0.995926251,1.5,1,P=O
TEB,-0.71235184,0.49,1,B-O
TEB,-1.119996349,1,1,B-O
